time_s,position_m,velocity_m_s,left_thrust_N,right_thrust_N
0,0,0,0,0
0.016666667,0.0010898939,0.065393634,8980.38,0
0.033333333,0.0032696817,0.13078727,8980.38,0
0.05,0.0065393634,0.1961809,8980.38,0
0.066666667,0.010898939,0.26157454,8980.38,0
0.083333333,0.016348409,0.32696817,8980.38,0
0.1,0.022887772,0.3923618,8980.38,0
0.11666667,0.030517029,0.45775544,8980.38,0
0.13333333,0.039236181,0.52314908,8980.38,0
0.15,0.049045226,0.58854271,8980.38,0
0.16666667,0.059944165,0.65393635,8980.38,0
0.18333333,0.071932998,0.71932997,8980.38,0
0.2,0.085011725,0.78472361,8980.38,0
0.21666667,0.099180345,0.85011725,8980.38,0
0.23333333,0.11443886,0.91551088,8980.38,0
0.25,0.13078727,0.98090452,8980.38,0
0.26666667,0.14822557,1.0462982,8980.38,0
0.28333333,0.16675377,1.1116918,8980.38,0
0.3,0.18637186,1.1770854,8980.38,0
0.31666667,0.20707984,1.2424791,8980.38,0
0.33333333,0.22887772,1.3078727,8980.38,0
0.35,0.25176549,1.3732663,8980.38,0
0.36666667,0.27574316,1.43866,8980.38,0
0.38333333,0.30081072,1.5040536,8980.38,0
0.4,0.32696817,1.5694472,8980.38,0
0.41666667,0.35421552,1.6348409,8980.38,0
0.43333333,0.38255276,1.7002345,8980.38,0
0.45,0.4119799,1.7656281,8980.38,0
0.46666667,0.44249693,1.8310218,8980.38,0
0.48333333,0.47410385,1.8964154,8980.38,0
0.5,0.50680067,1.961809,8980.38,0
0.51666667,0.54058738,2.0272027,8980.38,0
0.53333333,0.57546398,2.0925963,8980.38,0
0.55,0.61143048,2.1579899,8980.38,0
0.56666667,0.64848687,2.2233836,8980.38,0
0.58333333,0.68663316,2.2887772,8980.38,0
0.6,0.72586934,2.3541708,8980.38,0
0.61666667,0.76619542,2.4195645,8980.38,0
0.63333333,0.80761138,2.4849581,8980.38,0
0.65,0.85011725,2.5503517,8980.38,0
0.66666667,0.893713,2.6157454,8980.38,0
0.68333333,0.93839865,2.681139,8980.38,0
0.7,0.9841742,2.7465326,8980.38,0
0.71666667,1.0310396,2.8119263,8980.38,0
0.73333333,1.078995,2.8773199,8980.38,0
0.75,1.1280402,2.9427135,8980.38,0
0.76666667,1.1781753,3.0081072,8980.38,0
0.78333333,1.2294003,3.0735008,8980.38,0
0.8,1.2817152,3.1388944,8980.38,0
0.81666667,1.33512,3.2042881,8980.38,0
0.83333333,1.3896147,3.2696817,8980.38,0
0.85,1.4451993,3.3350754,8980.38,0
0.86666667,1.5018738,3.400469,8980.38,0
0.88333333,1.5596382,3.4658626,8980.38,0
0.9,1.6184924,3.5312563,8980.38,0
0.91666667,1.6784366,3.5966499,8980.38,0
0.93333333,1.7394707,3.6620435,8980.38,0
0.95,1.8015946,3.7274372,8980.38,0
0.96666667,1.8648085,3.7928308,8980.38,0
0.98333333,1.9291122,3.8582244,8980.38,0
1,1.9945058,3.9236181,8980.38,0
1.0166667,2.0609894,3.9890117,8980.38,0
1.0333333,2.1285628,4.0544053,8980.38,0
1.05,2.1972261,4.119799,8980.38,0
1.0666667,2.2669793,4.1851926,8980.38,0
1.0833333,2.3378224,4.2505862,8980.38,0
1.1,2.4097554,4.3159799,8980.38,0
1.1166667,2.4827783,4.3813735,8980.38,0
1.1333333,2.5568911,4.4467671,8980.38,0
1.15,2.6320938,4.5121608,8980.38,0
1.1666667,2.7083864,4.5775544,8980.38,0
1.1833333,2.7857688,4.642948,8980.38,0
1.2,2.8642412,4.7083417,8980.38,0
1.2166667,2.9438034,4.7737353,8980.38,0
1.2333333,3.0244556,4.8391289,8980.38,0
1.25,3.1061976,4.9045226,8980.38,0
1.2666667,3.1890296,4.9699162,8980.38,0
1.2833333,3.2729514,5.0353098,8980.38,0
1.3,3.3579631,5.1007035,8980.38,0
1.3166667,3.4440647,5.1660971,8980.38,0
1.3333333,3.5312563,5.2314907,8980.38,0
1.35,3.6195377,5.2968844,8980.38,0
