time_s,position_m,velocity_m_s,left_thrust_N,right_thrust_N
0,0,0,0,0
0.016666667,0.0004946694,0.029680164,4342.4554,0
0.033333333,0.0014840058,0.059360184,4342.4377,0
0.05,0.0029680048,0.08903994,4342.4024,0
0.066666667,0.0049466596,0.11871929,4342.3495,0
0.083333333,0.007419961,0.14839808,4342.2789,0
0.1,0.010387898,0.17807621,4342.1907,0
0.11666667,0.013850457,0.20775352,4342.0848,0
0.13333333,0.017807621,0.23742988,4341.9612,0
0.15,0.022259373,0.26710514,4341.82,0
0.16666667,0.027205693,0.29677919,4341.6612,0
0.18333333,0.032646558,0.32645188,4341.4847,0
0.2,0.038581942,0.35612306,4341.2905,0
0.21666667,0.045011819,0.38579263,4341.0788,0
0.23333333,0.05193616,0.41546042,4340.8493,0
0.25,0.059354931,0.44512631,4340.6023,0
0.26666667,0.067268101,0.47479016,4340.3376,0
0.28333333,0.075675632,0.50445184,4340.0552,0
0.3,0.084577485,0.53411122,4339.7552,0
0.31666667,0.093973621,0.56376814,4339.4376,0
0.33333333,0.103864,0.59342248,4339.1024,0
0.35,0.11424856,0.6230741,4338.7495,0
0.36666667,0.12512728,0.65272288,4338.3789,0
0.38333333,0.13650009,0.68236865,4337.9908,0
0.4,0.14836694,0.71201131,4337.585,0
0.41666667,0.16072779,0.74165071,4337.1616,0
0.43333333,0.17358257,0.77128671,4336.7205,0
0.45,0.18693122,0.80091918,4336.2618,0
0.46666667,0.20077369,0.83054798,4335.7856,0
0.48333333,0.2151099,0.86017298,4335.2916,0
0.5,0.2299398,0.88979404,4334.7801,0
0.51666667,0.24526332,0.91941102,4334.251,0
0.53333333,0.26108038,0.9490238,4333.7042,0
0.55,0.27739092,0.97863223,4333.1399,0
0.56666667,0.29419486,1.0082362,4332.5579,0
0.58333333,0.31149212,1.0378355,4331.9583,0
0.6,0.32928262,1.0674301,4331.3411,0
0.61666667,0.34756628,1.0970198,4330.7063,0
0.63333333,0.36634302,1.1266044,4330.054,0
0.65,0.38561275,1.1561839,4329.384,0
0.66666667,0.40537539,1.1857582,4328.6964,0
0.68333333,0.42563084,1.2153269,4327.9913,0
0.7,0.44637901,1.2448902,4327.2686,0
0.71666667,0.4676198,1.2744477,4326.5283,0
0.73333333,0.48935313,1.3039994,4325.7704,0
0.75,0.51157888,1.3335451,4324.9949,0
0.76666667,0.53429695,1.3630847,4324.2019,0
0.78333333,0.55750725,1.392618,4323.3913,0
0.8,0.58120967,1.422145,4322.5631,0
0.81666667,0.6054041,1.4516655,4321.7174,0
0.83333333,0.63009042,1.4811793,4320.8541,0
0.85,0.65526852,1.5106864,4319.9733,0
0.86666667,0.6809383,1.5401865,4319.0749,0
0.88333333,0.70709963,1.5696796,4318.159,0
0.9,0.73375238,1.5991654,4317.2256,0
0.91666667,0.76089645,1.628644,4316.2746,0
0.93333333,0.7885317,1.6581151,4315.306,0
0.95,0.81665801,1.6875786,4314.32,0
0.96666667,0.84527525,1.7170344,4313.3164,0
0.98333333,0.87438329,1.7464823,4312.2953,0
1,0.90398199,1.7759222,4311.2567,0
1.0166667,0.93407123,1.805354,4310.2006,0
1.0333333,0.96465085,1.8347775,4309.127,0
1.05,0.99572073,1.8641927,4308.0359,0
1.0666667,1.0272807,1.8935992,4306.9273,0
1.0833333,1.0593307,1.9229972,4305.8012,0
1.1,1.0918704,1.9523863,4304.6577,0
1.1166667,1.1248999,1.9817664,4303.4966,0
1.1333333,1.1584188,2.0111375,4302.3181,0
1.15,1.1924272,2.0404994,4301.1221,0
1.1666667,1.2269247,2.0698519,4299.9087,0
1.1833333,1.2619113,2.099195,4298.6778,0
1.2,1.2973868,2.1285285,4297.4295,0
1.2166667,1.333351,2.1578522,4296.1637,0
1.2333333,1.3698037,2.187166,4294.8804,0
1.25,1.4067449,2.2164698,4293.5798,0
1.2666667,1.4441743,2.2457634,4292.2617,0
1.2833333,1.4820917,2.2750468,4290.9262,0
1.3,1.5204971,2.3043198,4289.5732,0
1.3166667,1.5593901,2.3335822,4288.2029,0
1.3333333,1.5987707,2.3628339,4286.8152,0
1.35,1.6386386,2.3920748,4285.4101,0
1.3666667,1.6789936,2.4213047,4283.9875,0
1.3833333,1.7198357,2.4505236,4282.5476,0
1.4,1.7611646,2.4797312,4281.0904,0
1.4166667,1.80298,2.5089275,4279.6157,0
1.4333333,1.8452819,2.5381122,4278.1237,0
1.45,1.88807,2.5672854,4276.6144,0
1.4666667,1.9313441,2.5964468,4275.0876,0
1.4833333,1.975104,2.6255963,4273.5436,0
1.5,2.0193496,2.6547338,4271.9822,0
1.5166667,2.0640806,2.6838592,4270.4035,0
1.5333333,2.1092968,2.7129722,4268.8074,0
1.55,2.154998,2.7420728,4267.1941,0
1.5666667,2.201184,2.7711609,4265.5634,0
1.5833333,2.2478546,2.8002363,4263.9155,0
1.6,2.2950096,2.8292989,4262.2503,0
1.6166667,2.3426487,2.8583485,4260.5677,0
1.6333333,2.3907718,2.887385,4258.8679,0
1.65,2.4393786,2.9164083,4257.1509,0
1.6666667,2.4884689,2.9454182,4255.4165,0
1.6833333,2.5380425,2.9744146,4253.665,0
1.7,2.5880991,3.0033975,4251.8961,0
1.7166667,2.6386386,3.0323665,4250.1101,0
1.7333333,2.6896606,3.0613217,4248.3068,0
1.75,2.741165,3.0902629,4246.4863,0
1.7666667,2.7931515,3.1191899,4244.6486,0
1.7833333,2.8456199,3.1481026,4242.7936,0
1.8,2.8985699,3.177001,4240.9215,0
1.8166667,2.9520013,3.2058847,4239.0322,0
